,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,OI Chg,IV,Time
200,AEM,43.39,Call,45.0,2022-09-16,2.0,0.2,0.23,0.25,0.2,1036.0,5072.0,-57,57.50%,09:53 ET
64,AFRM,23.5,Call,24.5,2022-09-16,2.0,0.49,0.51,0.53,0.5,1386.0,2104.0,"+1,916",122.37%,09:51 ET
108,ALT,13.13,Call,18.0,2022-09-16,2.0,0.05,0.08,0.1,0.1,1654.0,2772.0,+846,373.07%,09:35 ET
72,AMD,76.56,Call,77.0,2022-09-16,2.0,1.39,1.4,1.42,1.33,583.0,2092.0,"+1,726",76.57%,09:36 ET
172,AMD,76.56,Call,80.0,2022-09-16,2.0,0.44,0.45,0.46,0.43,829.0,11084.0,"-1,145",73.48%,09:35 ET
51,AMD,76.56,Put,75.0,2022-09-16,2.0,1.12,1.13,1.14,1.18,1521.0,12924.0,"+2,412",76.17%,09:36 ET
97,AMD,76.56,Put,76.0,2022-09-16,2.0,1.51,1.53,1.54,1.6,892.0,1934.0,"+1,082",74.29%,09:36 ET
87,AMZN,127.46,Call,129.0,2022-09-16,2.0,1.3,1.31,1.32,1.16,570.0,4458.0,"+1,319",51.63%,09:36 ET
27,AMZN,127.46,Call,130.0,2022-09-16,2.0,0.94,0.95,0.96,0.82,1134.0,41966.0,"+3,787",50.97%,09:36 ET
35,AMZN,127.46,Call,132.0,2022-09-16,2.0,0.46,0.47,0.48,0.4,507.0,11501.0,"+3,205",50.53%,09:36 ET
137,AMZN,127.46,Call,135.0,2022-09-16,2.0,0.16,0.17,0.17,0.13,605.0,25301.0,+401,52.70%,09:36 ET
89,AMZN,127.46,Put,116.0,2022-09-16,2.0,0.1,0.11,0.11,0.13,1275.0,5526.0,"+1,283",72.98%,09:35 ET
46,AMZN,127.46,Put,117.0,2022-09-16,2.0,0.14,0.15,0.15,0.17,522.0,5877.0,"+2,539",71.99%,09:35 ET
180,AMZN,127.46,Put,125.0,2022-09-16,2.0,1.3,1.31,1.32,1.46,2524.0,22195.0,-510,63.42%,09:36 ET
103,AMZN,127.46,Put,126.0,2022-09-16,2.0,1.65,1.67,1.68,1.83,583.0,7980.0,+913,62.87%,09:36 ET
75,AMZN,127.46,Put,127.0,2022-09-16,2.0,2.06,2.08,2.1,2.26,978.0,7271.0,"+1,645",62.21%,09:36 ET
115,BA,145.68,Call,152.5,2022-09-16,2.0,0.5,0.57,0.64,0.4,899.0,1383.0,+715,58.35%,09:37 ET
157,BA,145.68,Put,143.0,2022-09-16,2.0,1.23,1.32,1.4,1.64,523.0,736.0,+119,61.50%,09:37 ET
191,BBBY,8.33,Call,7.0,2022-09-16,2.0,1.2,1.56,1.92,1.39,1002.0,2350.0,-139,193.27%,09:38 ET
201,BBBY,8.33,Call,8.5,2022-09-16,2.0,0.45,0.49,0.52,0.39,717.0,4484.0,-51,227.84%,09:38 ET
116,C,49.25,Call,50.0,2022-09-16,2.0,0.33,0.35,0.36,0.34,852.0,23902.0,+702,48.18%,09:41 ET
141,C,49.25,Put,48.0,2022-09-16,2.0,0.22,0.24,0.26,0.22,751.0,1348.0,+332,43.02%,09:39 ET
163,CHPT,17.31,Call,18.0,2022-09-16,2.0,0.31,0.32,0.32,0.31,846.0,24429.0,"-10,035",108.40%,09:42 ET
192,CHPT,17.31,Call,18.5,2022-09-16,2.0,0.2,0.21,0.21,0.2,2105.0,28490.0,-132,113.43%,09:41 ET
229,COIN,75.79,Put,63.0,2022-09-16,2.0,0.16,0.18,0.2,0.19,648.0,348.0,+92,152.70%,09:37 ET
88,DIS,110.9,Put,112.0,2022-09-16,2.0,2.07,2.11,2.14,1.94,590.0,4330.0,"+1,291",45.16%,09:43 ET
221,EOSE,2.36,Call,2.5,2022-09-16,2.0,0.1,0.13,0.15,0.14,1209.0,2777.0,+25,217.51%,09:48 ET
176,F,14.79,Call,15.0,2022-09-16,2.0,0.14,0.15,0.15,0.17,690.0,111444.0,-711,58.42%,09:48 ET
10,F,14.79,Put,15.0,2022-09-16,2.0,0.4,0.41,0.41,0.32,1617.0,130784.0,"+4,942",56.86%,09:46 ET
193,FCX,30.44,Put,32.0,2022-09-16,2.0,1.84,1.96,2.07,1.84,1222.0,4535.0,-122,99.49%,09:44 ET
138,FUBO,4.57,Call,4.5,2022-09-16,2.0,0.25,0.26,0.26,0.25,829.0,7715.0,+381,167.61%,09:52 ET
169,GILD,65.06,Call,65.0,2022-09-16,2.0,0.54,0.57,0.59,0.62,572.0,4292.0,"-1,299",32.29%,09:53 ET
189,GM,40.42,Call,41.0,2022-09-16,2.0,0.4,0.41,0.42,0.41,724.0,7847.0,-147,53.47%,09:49 ET
28,GOOGL,104.38,Call,108.0,2022-09-16,2.0,0.27,0.28,0.28,0.24,723.0,5130.0,"+3,611",43.68%,09:52 ET
114,GOOGL,104.38,Put,100.0,2022-09-16,2.0,0.28,0.29,0.29,0.29,673.0,50384.0,+719,54.56%,09:54 ET
110,GOOGL,104.38,Put,102.0,2022-09-16,2.0,0.58,0.59,0.59,0.6,1313.0,5110.0,+765,49.74%,09:54 ET
158,GOOGL,104.38,Put,103.0,2022-09-16,2.0,0.85,0.86,0.87,0.85,797.0,2796.0,+117,48.24%,09:54 ET
63,GOOGL,104.38,Put,104.0,2022-09-16,2.0,1.17,1.18,1.19,1.23,958.0,4115.0,"+1,946",45.89%,09:54 ET
226,JNJ,164.66,Call,165.0,2022-09-16,2.0,0.72,0.73,0.73,0.73,525.0,5149.0,+61,29.72%,09:40 ET
80,LTHM,34.0,Call,35.0,2022-09-16,2.0,0.2,0.28,0.35,0.35,554.0,15448.0,"+1,567",93.46%,09:39 ET
15,MARA,12.54,Put,12.5,2022-09-16,2.0,0.52,0.53,0.54,0.45,1369.0,6184.0,"+4,662",171.68%,09:43 ET
26,META,151.82,Call,155.0,2022-09-16,2.0,1.38,1.4,1.41,1.49,965.0,6771.0,"+3,903",59.99%,09:44 ET
21,META,151.82,Call,157.5,2022-09-16,2.0,0.75,0.76,0.77,0.83,565.0,5838.0,"+4,059",59.62%,09:44 ET
11,META,151.82,Call,160.0,2022-09-16,2.0,0.39,0.4,0.41,0.44,1913.0,29893.0,"+4,929",60.24%,09:44 ET
31,META,151.82,Call,162.5,2022-09-16,2.0,0.2,0.21,0.21,0.22,649.0,6490.0,"+3,369",61.31%,09:44 ET
54,META,151.82,Call,165.0,2022-09-16,2.0,0.11,0.11,0.12,0.11,3344.0,35220.0,"+2,219",63.35%,09:44 ET
60,META,151.82,Put,140.0,2022-09-16,2.0,0.39,0.4,0.41,0.38,772.0,13684.0,"+2,011",83.12%,09:44 ET
2,META,151.82,Put,145.0,2022-09-16,2.0,0.92,0.93,0.94,0.94,2350.0,22116.0,"+7,492",74.48%,09:44 ET
1,META,151.82,Put,150.0,2022-09-16,2.0,2.33,2.34,2.36,2.28,6254.0,22218.0,"+10,442",70.53%,09:44 ET
58,META,151.82,Put,152.5,2022-09-16,2.0,3.45,3.5,3.55,3.49,1002.0,6569.0,"+2,046",69.00%,09:44 ET
38,META,151.82,Put,155.0,2022-09-16,2.0,5.05,5.13,5.2,4.95,733.0,13526.0,"+2,938",71.61%,09:44 ET
47,MGM,33.06,Call,35.0,2022-09-16,2.0,0.08,0.1,0.12,0.18,1250.0,3180.0,"+2,471",63.96%,09:33 ET
50,MGM,33.06,Put,33.5,2022-09-16,2.0,0.84,0.92,0.99,0.78,1250.0,3309.0,"+2,450",73.49%,09:33 ET
145,MRNA,135.77,Call,140.0,2022-09-16,2.0,2.5,2.55,2.61,2.8,1381.0,1676.0,+263,94.14%,09:45 ET
143,MRNA,135.77,Call,150.0,2022-09-16,2.0,0.38,0.43,0.48,0.52,780.0,2766.0,+308,92.51%,09:45 ET
153,NCLH,14.22,Call,14.0,2022-09-16,2.0,0.49,0.51,0.53,0.55,698.0,3137.0,+175,99.23%,09:45 ET
140,NFLX,216.83,Call,222.5,2022-09-16,2.0,2.0,2.06,2.12,2.89,601.0,759.0,+341,62.36%,09:46 ET
134,NFLX,216.83,Put,210.0,2022-09-16,2.0,1.77,1.78,1.78,1.16,626.0,4609.0,+482,73.01%,09:46 ET
178,NIO,21.13,Call,21.0,2022-09-16,2.0,0.74,0.75,0.76,0.91,517.0,9644.0,-575,66.33%,09:46 ET
56,NIO,21.13,Call,22.0,2022-09-16,2.0,0.29,0.31,0.32,0.39,1030.0,10201.0,"+2,081",77.30%,09:46 ET
124,NIO,21.13,Call,22.5,2022-09-16,2.0,0.19,0.2,0.2,0.24,685.0,14917.0,+635,83.35%,09:46 ET
85,NIO,21.13,Call,23.0,2022-09-16,2.0,0.11,0.12,0.13,0.14,749.0,8921.0,"+1,390",87.67%,09:45 ET
170,NIO,21.13,Put,20.0,2022-09-16,2.0,0.16,0.17,0.17,0.12,1236.0,23815.0,"-1,293",110.22%,09:46 ET
30,NIO,21.13,Put,20.5,2022-09-16,2.0,0.26,0.27,0.27,0.2,649.0,16251.0,"+3,465",106.75%,09:46 ET
36,NIO,21.13,Put,21.0,2022-09-16,2.0,0.43,0.44,0.44,0.33,2390.0,10378.0,"+3,161",107.57%,09:46 ET
5,NIO,21.13,Put,21.5,2022-09-16,2.0,0.65,0.67,0.69,0.53,893.0,9259.0,"+6,169",109.52%,09:46 ET
32,NIO,21.13,Put,22.0,2022-09-16,2.0,0.97,0.99,1.0,0.79,1258.0,5333.0,"+3,360",115.10%,09:46 ET
194,NKLA,5.25,Call,5.5,2022-09-16,2.0,0.06,0.07,0.07,0.1,653.0,8940.0,-107,115.33%,09:46 ET
150,NVDA,130.05,Call,130.0,2022-09-16,2.0,2.68,2.71,2.74,3.4,1539.0,3238.0,+200,51.74%,09:47 ET
148,NVDA,130.05,Call,131.0,2022-09-16,2.0,2.2,2.22,2.24,2.81,939.0,579.0,+249,53.43%,09:47 ET
133,NVDA,130.05,Call,132.0,2022-09-16,2.0,1.8,1.82,1.84,2.36,1276.0,898.0,+484,55.41%,09:47 ET
136,NVDA,130.05,Call,133.0,2022-09-16,2.0,1.45,1.46,1.48,1.95,574.0,1083.0,+474,56.73%,09:47 ET
117,NVDA,130.05,Call,134.0,2022-09-16,2.0,1.13,1.15,1.16,1.59,631.0,1408.0,+650,57.26%,09:47 ET
166,NVDA,130.05,Call,135.0,2022-09-16,2.0,0.87,0.89,0.9,1.2,2952.0,7933.0,"-3,568",57.82%,09:47 ET
144,NVDA,130.05,Call,137.0,2022-09-16,2.0,0.5,0.51,0.52,0.74,605.0,2421.0,+302,58.89%,09:47 ET
99,NVDA,130.05,Call,138.0,2022-09-16,2.0,0.37,0.38,0.38,0.57,652.0,3101.0,"+1,043",59.13%,09:47 ET
49,NVDA,130.05,Call,140.0,2022-09-16,2.0,0.2,0.21,0.22,0.31,2206.0,7707.0,"+2,453",60.72%,09:47 ET
127,NVDA,130.05,Call,141.0,2022-09-16,2.0,0.16,0.17,0.17,0.25,540.0,1710.0,+593,62.27%,09:46 ET
228,NVDA,130.05,Call,143.0,2022-09-16,2.0,0.09,0.1,0.1,0.16,565.0,1736.0,+92,64.35%,09:46 ET
91,NVDA,130.05,Put,119.0,2022-09-16,2.0,0.34,0.35,0.35,0.24,960.0,1978.0,"+1,247",96.52%,09:46 ET
83,NVDA,130.05,Put,120.0,2022-09-16,2.0,0.44,0.45,0.46,0.3,927.0,10986.0,"+1,410",96.82%,09:47 ET
126,NVDA,130.05,Put,122.5,2022-09-16,2.0,0.76,0.78,0.79,0.55,964.0,5878.0,+606,95.53%,09:47 ET
123,NVDA,130.05,Put,124.0,2022-09-16,2.0,1.03,1.05,1.06,0.77,571.0,1561.0,+636,94.67%,09:47 ET
102,NVDA,130.05,Put,125.0,2022-09-16,2.0,1.27,1.29,1.3,0.96,3834.0,11088.0,+920,94.85%,09:47 ET
109,NVDA,130.05,Put,126.0,2022-09-16,2.0,1.55,1.56,1.57,1.14,983.0,2048.0,+816,94.95%,09:47 ET
105,NVDA,130.05,Put,127.0,2022-09-16,2.0,1.87,1.89,1.9,1.43,1122.0,2625.0,+883,95.37%,09:47 ET
100,NVDA,130.05,Put,128.0,2022-09-16,2.0,2.22,2.24,2.26,1.75,2371.0,2291.0,"+1,000",95.46%,09:47 ET
131,NVDA,130.05,Put,129.0,2022-09-16,2.0,2.64,2.66,2.68,2.1,2810.0,1751.0,+508,96.16%,09:47 ET
197,NVDA,130.05,Put,130.0,2022-09-16,2.0,3.1,3.13,3.15,2.51,13970.0,17692.0,-93,96.88%,09:47 ET
139,NVDA,130.05,Put,131.0,2022-09-16,2.0,3.6,3.65,3.7,2.95,1330.0,2441.0,+368,98.03%,09:47 ET
101,NVDA,130.05,Put,132.0,2022-09-16,2.0,4.15,4.2,4.25,3.35,1550.0,2966.0,+977,98.73%,09:47 ET
84,NVDA,130.05,Put,133.0,2022-09-16,2.0,4.85,4.9,4.95,3.95,550.0,3205.0,"+1,407",102.26%,09:47 ET
167,NVDA,130.05,Put,135.0,2022-09-16,2.0,6.3,6.38,6.45,5.2,678.0,14693.0,"-2,224",108.61%,09:47 ET
112,OXY,67.25,Call,67.0,2022-09-16,2.0,1.3,1.31,1.32,1.4,1067.0,4160.0,+752,86.58%,09:48 ET
146,OXY,67.25,Put,66.0,2022-09-16,2.0,0.8,0.83,0.85,0.76,659.0,2158.0,+257,46.00%,09:48 ET
120,RIVN,38.68,Put,39.0,2022-09-16,2.0,1.32,1.39,1.45,1.4,548.0,815.0,+646,93.15%,09:51 ET
184,SBUX,91.63,Call,90.0,2022-09-16,2.0,2.11,2.15,2.19,2.14,1469.0,17337.0,-318,28.54%,09:55 ET
52,SBUX,91.63,Call,91.0,2022-09-16,2.0,1.66,1.71,1.75,1.55,612.0,3555.0,"+2,332",42.28%,09:55 ET
155,SBUX,91.63,Call,92.0,2022-09-16,2.0,1.02,1.04,1.06,1.03,1027.0,1949.0,+134,38.09%,09:55 ET
198,SBUX,91.63,Call,92.5,2022-09-16,2.0,0.97,1.0,1.03,0.88,932.0,4844.0,-92,45.46%,09:54 ET
208,SBUX,91.63,Call,94.0,2022-09-16,2.0,0.47,0.5,0.52,0.38,3449.0,789.0,-1,45.57%,09:55 ET
182,SBUX,91.63,Call,95.0,2022-09-16,2.0,0.24,0.25,0.26,0.24,1087.0,5102.0,-367,42.84%,09:55 ET
224,SBUX,91.63,Put,90.0,2022-09-16,2.0,0.63,0.65,0.66,0.69,560.0,6249.0,+50,53.02%,09:55 ET
37,SOFI,5.99,Call,6.0,2022-09-16,2.0,0.13,0.14,0.14,0.13,817.0,25776.0,"+3,159",80.76%,09:38 ET
159,SQ,66.42,Call,74.0,2022-09-16,2.0,0.1,0.11,0.12,0.11,864.0,1155.0,+111,93.80%,09:39 ET
183,TSLA,296.72,Call,290.0,2022-09-16,2.0,6.5,6.55,6.6,7.03,1135.0,9753.0,-341,53.00%,09:42 ET
62,TSLA,296.72,Call,292.5,2022-09-16,2.0,5.05,5.1,5.15,5.84,1893.0,3429.0,"+1,952",52.74%,09:42 ET
76,TSLA,296.72,Call,293.33,2022-09-16,2.0,4.6,4.65,4.7,5.05,1804.0,6803.0,"+1,599",52.47%,09:42 ET
70,TSLA,296.72,Call,294.17,2022-09-16,2.0,4.15,4.23,4.3,4.9,1268.0,2804.0,"+1,771",52.26%,09:42 ET
6,TSLA,296.72,Call,295.0,2022-09-16,2.0,3.8,3.85,3.9,4.19,4470.0,11566.0,"+5,745",52.30%,09:42 ET
48,TSLA,296.72,Call,295.83,2022-09-16,2.0,3.65,3.72,3.8,3.79,529.0,3321.0,"+2,455",55.75%,09:42 ET
151,TSLA,296.72,Call,296.67,2022-09-16,2.0,3.05,3.1,3.15,3.5,601.0,3870.0,+186,51.57%,09:42 ET
69,TSLA,296.72,Call,298.33,2022-09-16,2.0,2.47,2.5,2.52,2.7,554.0,4841.0,"+1,776",51.39%,09:42 ET
7,TSLA,296.72,Call,300.0,2022-09-16,2.0,1.95,1.98,2.0,2.13,4249.0,41622.0,"+5,628",51.19%,09:42 ET
9,TSLA,296.72,Call,301.67,2022-09-16,2.0,1.49,1.52,1.54,1.79,1887.0,7434.0,"+5,114",50.62%,09:42 ET
4,TSLA,296.72,Call,305.0,2022-09-16,2.0,0.87,0.89,0.91,0.97,1552.0,21788.0,"+6,550",50.53%,09:42 ET
168,TSLA,296.72,Call,310.0,2022-09-16,2.0,0.37,0.38,0.39,0.4,1066.0,23783.0,"-1,306",51.08%,09:42 ET
204,TSLA,296.72,Put,270.0,2022-09-16,2.0,0.38,0.39,0.4,0.3,653.0,26027.0,-10,72.58%,09:42 ET
79,TSLA,296.72,Put,275.0,2022-09-16,2.0,0.66,0.68,0.69,0.54,589.0,10334.0,"+1,589",68.50%,09:42 ET
16,TSLA,296.72,Put,280.0,2022-09-16,2.0,1.22,1.24,1.26,1.02,1222.0,21528.0,"+4,418",65.93%,09:42 ET
8,TSLA,296.72,Put,285.0,2022-09-16,2.0,2.22,2.24,2.26,1.83,3098.0,12079.0,"+5,565",64.20%,09:42 ET
29,TSLA,296.72,Put,290.0,2022-09-16,2.0,3.75,3.78,3.8,3.2,3985.0,19457.0,"+3,553",62.19%,09:42 ET
104,TSLA,296.72,Put,290.83,2022-09-16,2.0,4.05,4.1,4.15,3.55,1084.0,3491.0,+904,61.94%,09:42 ET
171,TSLA,296.72,Put,291.67,2022-09-16,2.0,4.4,4.45,4.5,3.89,1543.0,3155.0,"-1,212",61.70%,09:42 ET
119,TSLA,296.72,Put,292.5,2022-09-16,2.0,4.75,4.83,4.9,4.12,1713.0,6993.0,+648,61.56%,09:42 ET
181,TSLA,296.72,Put,293.33,2022-09-16,2.0,5.2,5.25,5.3,4.45,1067.0,7010.0,-387,61.77%,09:42 ET
111,TSLA,296.72,Put,294.17,2022-09-16,2.0,5.6,5.65,5.7,4.87,690.0,3501.0,+757,61.39%,09:42 ET
175,TSLA,296.72,Put,295.0,2022-09-16,2.0,6.0,6.05,6.1,5.25,1512.0,9452.0,-770,60.82%,09:42 ET
165,TSLA,296.72,Put,300.0,2022-09-16,2.0,9.15,9.23,9.3,8.27,884.0,23267.0,"-5,092",61.46%,09:42 ET
40,UBER,31.75,Put,30.5,2022-09-16,2.0,0.31,0.33,0.34,0.32,1155.0,3743.0,"+2,811",68.01%,09:38 ET
149,XOM,98.17,Call,98.0,2022-09-16,2.0,1.44,1.44,1.45,1.4,772.0,2826.0,+205,68.62%,09:48 ET
